%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2020 123 6 0 -999.00 8.09 42.01 -999.00 -999.00 9.79000 67.02 7.01 99.22 0.00 298.79 2020.00 271.93 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 7 0 -999.00 22.39 57.53 -999.00 -999.00 9.43000 66.30 7.60 99.24 0.00 402.33 2020.00 272.81 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 8 0 -999.00 41.86 68.46 -999.00 -999.00 9.16000 64.86 8.36 99.22 0.00 544.25 2020.00 269.49 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 9 0 -999.00 56.58 78.64 -999.00 -999.00 9.03000 64.31 9.02 99.21 0.00 638.90 2020.00 269.99 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 10 0 -999.00 59.59 83.76 -999.00 -999.00 10.06000 61.91 9.62 99.19 0.00 680.74 2020.00 272.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 11 0 -999.00 50.28 81.73 -999.00 -999.00 10.77000 62.63 9.87 99.15 0.01 636.16 2020.00 281.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 12 0 -999.00 27.64 72.09 -999.00 -999.00 11.39000 64.01 9.78 99.10 0.12 518.96 2020.00 295.29 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 13 0 -999.00 -3.75 48.38 -999.00 -999.00 11.59000 66.11 9.56 99.10 0.03 305.44 2020.00 304.74 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 14 0 -999.00 -19.64 27.80 -999.00 -999.00 10.19000 70.44 8.93 99.08 0.07 134.92 2020.00 328.72 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 15 0 -999.00 -21.92 23.51 -999.00 -999.00 9.16000 74.30 8.35 99.08 0.41 92.68 2020.00 336.13 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 16 0 -999.00 -28.38 20.80 -999.00 -999.00 7.62000 79.51 7.81 99.06 0.87 58.94 2020.00 338.59 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 17 0 -999.00 -35.68 15.77 -999.00 -999.00 8.14000 84.41 7.43 99.03 0.91 23.65 2020.00 343.37 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 18 0 -999.00 -43.44 14.31 -999.00 -999.00 9.86000 88.02 7.25 99.00 0.80 8.43 2020.00 342.14 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 19 0 -999.00 -37.78 8.48 -999.00 -999.00 9.91000 90.13 7.20 98.97 0.70 0.27 2020.00 341.14 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 20 0 -999.00 -32.18 6.24 -999.00 -999.00 7.83000 92.13 7.02 98.94 0.76 0.00 2020.00 343.67 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 21 0 -999.00 -20.02 3.69 -999.00 -999.00 4.96000 94.82 6.75 98.95 0.72 0.00 2020.00 349.29 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 22 0 -999.00 -9.37 0.77 -999.00 -999.00 5.01000 97.13 6.37 98.91 0.17 0.00 2020.00 349.35 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 123 23 0 -999.00 -4.42 -1.54 -999.00 -999.00 5.85000 96.98 6.23 98.91 0.01 0.00 2020.00 345.09 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 0 0 -999.00 -5.29 -3.64 -999.00 -999.00 6.59000 96.76 6.06 98.90 0.01 0.00 2020.00 333.48 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 1 0 -999.00 -8.79 -4.94 -999.00 -999.00 7.45000 96.49 5.93 98.93 0.01 0.00 2020.00 320.95 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 2 0 -999.00 -11.41 -6.21 -999.00 -999.00 7.87000 96.50 5.67 98.97 0.00 0.00 2020.00 302.34 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 3 0 -999.00 -9.43 -3.67 -999.00 -999.00 7.96000 96.68 5.56 98.98 0.00 9.40 2020.00 302.62 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 4 0 -999.00 -4.53 1.75 -999.00 -999.00 8.92000 96.37 5.47 99.00 0.00 68.28 2020.00 288.13 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 5 0 -999.00 4.07 18.36 -999.00 -999.00 9.23000 95.30 5.48 99.03 0.00 147.77 2020.00 303.11 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 6 0 -999.00 11.31 34.16 -999.00 -999.00 9.55000 95.35 5.45 99.09 0.01 203.14 2020.00 320.93 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 7 0 -999.00 8.51 31.98 -999.00 -999.00 9.42000 93.70 5.72 99.16 0.01 204.97 2020.00 336.32 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 8 0 -999.00 26.44 42.93 -999.00 -999.00 9.40000 92.12 6.07 99.21 0.01 324.42 2020.00 326.38 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 9 0 -999.00 40.09 51.16 -999.00 -999.00 9.77000 89.99 6.35 99.28 0.01 390.66 2020.00 328.13 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 10 0 -999.00 54.72 55.69 -999.00 -999.00 9.55000 84.15 6.93 99.32 0.00 438.25 2020.00 325.22 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 11 0 -999.00 59.21 58.74 -999.00 -999.00 10.00000 80.84 7.22 99.37 0.00 535.02 2020.00 314.94 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 12 0 -999.00 67.26 67.61 -999.00 -999.00 9.79000 79.06 7.38 99.40 0.00 619.99 2020.00 285.67 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 13 0 -999.00 53.52 66.65 -999.00 -999.00 10.11000 77.26 7.54 99.42 0.00 597.00 2020.00 266.92 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 14 0 -999.00 35.72 60.76 -999.00 -999.00 10.30000 76.16 7.60 99.49 0.00 509.62 2020.00 264.41 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 15 0 -999.00 22.70 48.40 -999.00 -999.00 10.15000 78.22 7.21 99.53 0.00 386.31 2020.00 271.45 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 16 0 -999.00 8.94 29.54 -999.00 -999.00 9.45000 81.31 6.74 99.55 0.00 244.17 2020.00 268.93 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 17 0 -999.00 0.79 15.22 -999.00 -999.00 8.46000 82.53 6.44 99.56 0.00 111.88 2020.00 294.06 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 18 0 -999.00 -7.98 6.55 -999.00 -999.00 8.10000 84.76 6.06 99.57 0.00 40.53 2020.00 278.48 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 19 0 -999.00 -10.74 1.14 -999.00 -999.00 6.74000 88.44 5.53 99.58 0.00 1.56 2020.00 274.37 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 20 0 -999.00 -9.22 -0.22 -999.00 -999.00 5.92000 91.46 5.11 99.64 0.00 0.00 2020.00 274.34 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 21 0 -999.00 -4.67 0.45 -999.00 -999.00 6.06000 93.32 4.84 99.66 0.00 0.00 2020.00 303.04 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 22 0 -999.00 -1.75 0.38 -999.00 -999.00 6.40000 95.70 4.67 99.66 0.07 0.00 2020.00 318.05 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 124 23 0 -999.00 0.34 0.80 -999.00 -999.00 6.86000 95.99 4.60 99.66 0.08 0.00 2020.00 322.43 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 0 0 -999.00 1.74 1.51 -999.00 -999.00 8.21000 96.00 4.48 99.65 0.09 0.00 2020.00 327.83 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 1 0 -999.00 2.49 1.97 -999.00 -999.00 8.62000 96.15 4.50 99.68 0.01 0.00 2020.00 326.66 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 2 0 -999.00 1.13 1.82 -999.00 -999.00 8.01000 95.39 4.58 99.69 0.01 0.00 2020.00 327.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 3 0 -999.00 -0.40 3.22 -999.00 -999.00 7.35000 94.28 4.72 99.69 0.01 5.88 2020.00 327.66 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 4 0 -999.00 2.21 6.00 -999.00 -999.00 6.96000 94.67 4.85 99.74 0.01 40.42 2020.00 331.85 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 5 0 -999.00 6.29 9.46 -999.00 -999.00 6.46000 94.45 5.08 99.77 0.00 77.16 2020.00 336.16 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 6 0 -999.00 9.13 12.22 -999.00 -999.00 7.06000 93.71 5.19 99.83 0.01 111.93 2020.00 334.14 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 7 0 -999.00 16.33 22.93 -999.00 -999.00 8.09000 93.64 5.11 99.88 0.01 169.01 2020.00 337.94 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 8 0 -999.00 27.22 29.53 -999.00 -999.00 8.90000 92.11 5.31 99.92 0.02 203.31 2020.00 333.86 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 9 0 -999.00 51.68 41.49 -999.00 -999.00 8.80000 90.96 5.56 99.97 0.04 379.80 2020.00 332.67 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 10 0 -999.00 70.13 56.02 -999.00 -999.00 9.17000 88.34 5.75 100.03 0.05 512.33 2020.00 310.87 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 11 0 -999.00 83.02 69.34 -999.00 -999.00 7.99000 85.82 6.17 100.06 0.05 654.73 2020.00 279.43 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 12 0 -999.00 78.39 70.50 -999.00 -999.00 7.68000 83.47 6.42 100.05 0.05 649.71 2020.00 268.06 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 13 0 -999.00 68.11 69.00 -999.00 -999.00 7.50000 81.46 6.64 100.07 0.02 584.54 2020.00 276.74 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 14 0 -999.00 46.83 59.03 -999.00 -999.00 6.57000 80.14 6.75 100.08 0.00 501.77 2020.00 266.14 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 15 0 -999.00 26.82 47.89 -999.00 -999.00 5.73000 79.55 6.87 100.09 0.00 390.49 2020.00 268.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 16 0 -999.00 4.35 31.87 -999.00 -999.00 4.94000 78.90 6.87 100.08 0.00 259.63 2020.00 266.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 17 0 -999.00 -5.93 17.96 -999.00 -999.00 3.92000 81.51 6.50 100.08 0.00 144.44 2020.00 269.65 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 18 0 -999.00 -6.91 4.52 -999.00 -999.00 2.90000 87.21 5.68 100.15 0.00 47.96 2020.00 271.47 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 19 0 -999.00 -4.73 1.11 -999.00 -999.00 2.22000 91.08 4.74 100.17 0.00 2.03 2020.00 269.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 20 0 -999.00 -2.55 0.71 -999.00 -999.00 1.85000 88.16 5.38 100.19 0.00 0.00 2020.00 268.12 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 21 0 -999.00 -1.27 0.55 -999.00 -999.00 1.01000 90.73 4.88 100.19 0.00 0.00 2020.00 268.94 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 22 0 -999.00 -1.07 0.25 -999.00 -999.00 0.67000 91.69 4.67 100.20 0.00 0.00 2020.00 268.71 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 125 23 0 -999.00 -1.02 0.10 -999.00 -999.00 0.47000 94.56 4.06 100.21 0.00 0.00 2020.00 265.44 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 126 0 0 -999.00 -0.43 0.26 -999.00 -999.00 1.08000 95.38 3.79 100.19 0.00 0.00 2020.00 263.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 126 1 0 -999.00 -0.17 0.02 -999.00 -999.00 1.54000 93.93 3.90 100.23 0.00 0.00 2020.00 262.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 126 2 0 -999.00 0.27 0.01 -999.00 -999.00 1.48000 95.03 3.58 100.24 0.00 0.00 2020.00 267.77 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 126 3 0 -999.00 0.65 0.30 -999.00 -999.00 2.12000 96.31 2.98 100.25 0.00 13.46 2020.00 275.76 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 126 4 0 -999.00 4.42 0.35 -999.00 -999.00 2.39000 95.73 3.62 100.27 0.00 78.06 2020.00 279.39 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 126 5 0 -999.00 16.56 5.08 -999.00 -999.00 2.29000 94.27 4.59 100.28 0.00 162.64 2020.00 288.67 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 126 6 0 -999.00 29.11 16.88 -999.00 -999.00 2.32000 88.89 5.69 100.31 0.00 264.59 2020.00 304.72 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 126 7 0 -999.00 44.48 38.56 -999.00 -999.00 2.30000 83.73 6.40 100.33 0.00 434.75 2020.00 279.41 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 126 8 0 -999.00 58.39 54.03 -999.00 -999.00 2.38000 80.97 6.97 100.31 0.00 523.31 2020.00 290.33 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 126 9 0 -999.00 59.50 67.16 -999.00 -999.00 2.75000 76.83 7.40 100.32 0.00 581.35 2020.00 293.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 126 10 0 -999.00 68.24 83.57 -999.00 -999.00 3.53000 71.66 8.60 100.32 0.00 667.52 2020.00 287.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
